 46   2.219854 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 47   2.219966 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 48   2.220099 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 49   2.243804 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=15929 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 50   2.243883 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=17377 Win=44544 Len=0 TSval=620603 TSecr=2141929922
 51   2.244015 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=18825 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 52   2.244137 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=20273 Win=44544 Len=0 TSval=620603 TSecr=2141929922
 53   2.244252 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=21721 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 54   2.244383 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=23169 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 55   2.244629 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=26065 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 56   2.244877 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=28961 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 57   2.245121 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=31857 Win=45184 Len=0 TSval=620603 TSecr=2141929922
 58   2.269514 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 59   2.269669 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 60   2.269802 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 61   2.269907 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 62   2.270036 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 63   2.270149 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 64   2.270281 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 65   2.270467 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 66   2.270677 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 67   2.270778 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 68   2.270908 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 69   2.271020 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 70   2.271152 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 71   2.271266 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 72   2.271396 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 73   2.271510 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 74   2.271642 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 75   2.271756 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 76   2.271887 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 77   2.294767 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=36201 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 78   2.294946 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=39097 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 79   2.295240 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=41993 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 80   2.295564 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=46337 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 81   2.295812 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=49233 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 82   2.296052 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=52129 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 83   2.296291 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=55025 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 84   2.296531 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=57921 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 85   2.296777 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=60817 Win=45184 Len=0 TSval=620616 TSecr=2141929935
 86   2.320364 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 87   2.320467 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 88   2.320598 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 89   2.320716 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 90   2.320844 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 91   2.320963 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 92   2.321093 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 93   2.321202 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 94   2.321386 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 95   2.321593 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 96   2.321699 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 97   2.321832 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 98   2.321951 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
 99   2.322073 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
100   2.322203 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
101   2.322316 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
102   2.322449 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
103   2.322562 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
104   2.322694 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
105   2.322809 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
106   2.322941 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
107   2.323054 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
108   2.323189 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
109   2.323300 192.168.23.32 -> 192.168.23.172 TCP [TCP segment of a reassembled PDU]
110   2.334642 192.168.23.172 -> 192.168.23.32 TCP 49567 > http [ACK] Seq=126 Ack=62265 Win=45184 Len=0 TSval=620626 TSecr=2141929935
